,state,fips,cases,deaths,employed-sugar-intake-daily
26512,Vermont,50,152618,929,16.7 
26513,West Virginia,54,643270,8104,46.1 
26514,Wisconsin,55,2007241,16440,29.7 
26515,Alaska,2,307958,1438,26.2 
26516,Arizona,4,2444144,33104,33.0 
26517,California,6,12133065,103999,22.9 
26518,Connecticut,9,976750,12220,18.9 
26519,District of Columbia,11,177945,1432,18.5 
26520,Indiana,18,2051104,26115,35.9 
26521,Iowa,19,903991,10727,34.2 
26522,Kansas,20,938176,10208,32.4 
26523,Kentucky,21,1718471,18241,43.4 
26524,Louisiana,22,1573810,18766,46.9 
26525,Maryland,24,1365982,16617,28.0 
26526,Minnesota,27,1778866,14870,23.5 
26527,Mississippi,28,990756,13405,49.7 
26528,Nebraska,31,568983,5065,31.1 
26529,New Jersey,34,3049952,36058,22.7 
26530,New York,36,6791884,79962,23.1 
26531,North Carolina,37,3472644,29677,42.1 
26532,Ohio,39,3400652,41974,32.0 
26533,Oklahoma,40,1290929,16485,46.5 
26534,South Carolina,45,1836568,20128,42.0 
26535,Utah,49,1090669,5298,30.3 
26536,Vermont,50,152618,929,16.7 
26537,West Virginia,54,643270,8104,46.1 
26538,Wisconsin,55,2007241,16440,29.7 
26539,Alaska,2,307958,1438,26.2 
26540,Arizona,4,2444144,33104,33.0 
26541,California,6,12133065,103999,22.9 
26542,Connecticut,9,977109,12219,18.9 
26543,District of Columbia,11,177945,1432,18.5 
26544,Indiana,18,2051104,26115,35.9 
26545,Iowa,19,903991,10727,34.2 
26546,Kansas,20,938176,10208,32.4 
26547,Kentucky,21,1718471,18241,43.4 
26548,Louisiana,22,1573810,18766,46.9 
26549,Maryland,24,1365982,16617,28.0 
26550,Minnesota,27,1778866,14870,23.5 
26551,Mississippi,28,990756,13405,49.7 
26552,Nebraska,31,568983,5065,31.1 
26553,New Jersey,34,3049952,36058,22.7 
26554,New York,36,6792530,79962,23.1 
26555,North Carolina,37,3472644,29677,42.1 
26556,Ohio,39,3400652,41974,32.0 
26557,Oklahoma,40,1290929,16485,46.5 
26558,South Carolina,45,1836568,20128,42.0 
26559,Utah,49,1090669,5298,30.3 
26560,Vermont,50,152618,929,16.7 
26561,West Virginia,54,643270,8104,46.1 
26562,Wisconsin,55,2007241,16440,29.7 
26563,Alaska,2,307958,1438,26.2 
26564,Arizona,4,2444144,33104,33.0 
26565,California,6,12134760,104027,22.9 
26566,Connecticut,9,977142,12219,18.9 
26567,District of Columbia,11,177945,1432,18.5 
26568,Indiana,18,2051104,26115,35.9 
26569,Iowa,19,903991,10727,34.2 
26570,Kansas,20,938200,10208,32.4 
26571,Kentucky,21,1721300,18286,43.4 
26572,Louisiana,22,1573810,18766,46.9 
26573,Maryland,24,1366352,16625,28.0 
26574,Minnesota,27,1778866,14870,23.5 
26575,Mississippi,28,990756,13405,49.7 
26576,Nebraska,31,569133,5066,31.1 
26577,New Jersey,34,3051396,36061,22.7 
26578,New York,36,6794582,79964,23.1 
26579,North Carolina,37,3472644,29677,42.1 
26580,Ohio,39,3400652,41974,32.0 
26581,Oklahoma,40,1290929,16485,46.5 
26582,South Carolina,45,1836568,20128,42.0 
26583,Utah,49,1090669,5298,30.3 
26584,Vermont,50,152618,929,16.7 
