,state,fips,cases,deaths,employed-sugar-intake-daily
25820,Arizona,4,2404386,32936,33.0 
25821,California,6,12032321,102767,22.9 
25822,Connecticut,9,970738,12036,18.9 
25823,District of Columbia,11,176845,1425,18.5 
25824,Indiana,18,2033879,25959,35.9 
25825,Iowa,19,897136,10627,34.2 
25826,Kansas,20,930452,10119,32.4 
25827,Kentucky,21,1698146,18020,43.4 
25828,Louisiana,22,1555480,18624,46.9 
25829,Maryland,24,1353137,16391,28.0 
25830,Minnesota,27,1761893,14682,23.5 
25831,Mississippi,28,981020,13257,49.7 
25832,Nebraska,31,563216,4948,31.1 
25833,New Jersey,34,3021245,35904,22.7 
25834,New York,36,6737292,79081,23.1 
25835,North Carolina,37,3438259,29279,42.1 
25836,Ohio,39,3364860,41601,32.0 
25837,Oklahoma,40,1278295,16258,46.5 
25838,South Carolina,45,1818546,19820,42.0 
25839,Utah,49,1084278,5270,30.3 
25840,Vermont,50,150985,901,16.7 
25841,West Virginia,54,637100,8005,46.1 
25842,Wisconsin,55,1989983,16248,29.7 
25843,Alaska,2,305370,1426,26.2 
25844,Arizona,4,2404386,32936,33.0 
25845,California,6,12032321,102767,22.9 
25846,Connecticut,9,970738,12036,18.9 
25847,District of Columbia,11,176845,1425,18.5 
25848,Indiana,18,2033879,25959,35.9 
25849,Iowa,19,897136,10627,34.2 
25850,Kansas,20,930452,10119,32.4 
25851,Kentucky,21,1698146,18020,43.4 
25852,Louisiana,22,1555480,18624,46.9 
25853,Maryland,24,1353137,16391,28.0 
